Category,Subcategory,Program,Organization,Host Institution,Country,Target Audience,Funding,Funding Details,Supervisor Match,Duration,Application Open,Application Deadline,Expected Open Month,Expected Deadline Month,Date Status,Deadline Confidence,Application Effort,Prestige Score (1-10),Funding Score (1-10),AI/ML Fit Score (1-10),Application Portal,Required Documents,Tags,Official Website,Notes
Research,Research Internship,Mitacs Globalink Research Internship,Mitacs,Multiple Canadian Universities,Canada,Undergraduate,Fully Funded,"Flight, visa, housing, food stipend",No,12 weeks,2026-08-05,2026-09-16,August,September,Estimated,High,High,8,9,9,,,Link,Deep structural links with Brazil; matches high GPA.,
Research,Research Internship,University of Alberta Research Experience (UARE),University of Alberta,University of Alberta,Canada,Undergraduate,Mostly Funded,"$6,000 CAD award",Helpful,12 weeks,,,August,October,Historical,Medium,Medium,7,7,8,,,Link,Formally replaced WARI framework; targets senior undergrads.,
Research,Research Fellowship,ETH Zurich Student Summer Research Fellowship (ETH SSRF),ETH Zurich,ETH Zurich,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 4,000 stipend + travel and visa reimbursement",No,2 months,2026-11-01,2026-12-16,November,December,Confirmed,High,High,10,9,10,,,Link,Strict July-August timeline; highly technical CV required.,
Research,Research Fellowship,Summer@EPFL Fellowship,EPFL,EPFL,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 1,800/month stipend + economy round-trip airfare",No,2-3 months,,2026-11-29,September,November,Confirmed,High,High,10,9,10,,,Link,Focus areas perfectly align with multimodal learning.,
Research,Research Internship,Max Planck Internship Programs,Max Planck Society,Max Planck Institutes (MPI),Germany,"Undergraduate, Graduate",Fully Funded,"Covers living costs, housing, and round-trip travel",Helpful,12-14 weeks,Rolling,Rolling,,Anual,Confirmed,High,High,9,9,9,,,Link,Apply 5 months prior; heavily driven by individual PI budget.,
Research,Research Internship,Mila Undergraduate Summer Research Internship,Mila,Mila / UniversitÃ© de MontrÃ©al,Canada,Undergraduate,Mostly Funded,Competitive standard research stipend ($6k-$8k CAD),Helpful,12-16 weeks,,,October,January,Historical,Medium,High,9,8,10,,,Link,Strategic option to combine via Mitacs GRI portal matching.,
Research,Research Internship,CERN Openlab Summer Student Programme,CERN,CERN,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 90 daily allowance + travel, health insurance",No,9 weeks,,,November,January,Historical,High,High,9,9,8,,,Link,Brazil's associate state allows full student access.,
Research,Research Internship,DAAD RISE Germany,DAAD,Multiple German Universities,Germany,Undergraduate,Fully Funded,â¬934/month stipend + health insurance + travel grant,No,3 months,,,October,November,Historical,High,High,8,8,8,,,Link,Direct mapping to German laboratory researchers.,
Research,Research Fellowship,RIKEN International Program Associate,RIKEN,RIKEN,Japan,Graduate,Fully Funded,"Daily allowance, housing, round-trip airfare",Helpful,1-3 years,,,April,June,Historical,Medium,High,8,9,7,,,Link,Skews graduate but senior undergrads can apply if tied to PhD.,
Research,Research School,NUS Summer Research Programme,National University of Singapore,National University of Singapore,Singapore,Undergraduate,Unfunded,Institutional fee waiver typically applied; living out-of-pocket,No,2 months,,,January,March,Historical,Medium,Medium,8,3,8,,,Link,Managed natively via the School of Computing faculty.,
