Category,Subcategory,Program,Organization,Host Institution,Country,Target Audience,Funding,Funding Details,Supervisor Match,Duration,Application Open,Application Deadline,Expected Open Month,Expected Deadline Month,Date Status,Deadline Confidence,Application Effort,Prestige Score (1-10),Funding Score (1-10),AI/ML Fit Score (1-10),Official Website,Notes
Education,Online Courses,fast.ai,fast.ai,Online,Worldwide,Developers & Students,Free,No-cost educational resources,No,Self-paced,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,8,1,8,https://fast.ai,Classic deep learning course. Always open.
Education,Online Courses,Learn Mech Interp,Neel Nanda,Online,Worldwide,AI Researchers & Students,Free,No-cost educational resources,No,Self-paced,Always Open,Always Open,Continuous,Continuous,Confirmed,High,Low,9,1,10,https://learnmechinterp.com/topics/,The gold standard for learning Mechanistic Interpretability. Always open.
Education,Online Courses,BlueDot Courses,BlueDot Impact,Online,Worldwide,Students & Professionals,Free,No-cost educational resources,No,10-12 weeks,September,October,September,October,Estimated (Varies by Cohort),Medium,Medium,7,1,7,https://bluedot.org/courses,"Runs 3x a year. Typically opens in Jan, May, and Sept."
Research,Technical Fellowship,SOAR,EleutherAI,Online,Worldwide,AI Safety Researchers,Fully Funded,Stipend provided,Yes,12 weeks,January,March,January,March,Estimated (Annual),High,High,9,9,10,https://www.eleuther.ai/,"Ultra-competitive (2% acceptance rate with over 3,500 applications for 60-80 slots) technical fellowship for AI safety and alignment."
Research,Non-Technical Fellowship,BlueDot Fellowships,BlueDot Impact,Online,Worldwide,Students & Professionals,Unfunded,Educational fellowship with high networking value,No,10-12 weeks,September,October,September,October,Estimated (Varies by Cohort),Medium,Medium,7,1,6,https://bluedot.org/,Runs in parallel with their courses. Multiple cohorts per year.
Research,Non-Technical Fellowship,Talos Fellowship,Talos Network,Online,Worldwide,AI Safety Beginners,Fully Funded,Stipend provided for duration,Yes,Varies,May,June,May,June,Estimated (Varies by Cohort),Medium,Medium,6,8,5,https://www.talosnetwork.org/talos-fellowship,Usually opens mid-year. Dates vary depending on mentor availability.
Research,Non-Technical Fellowship,Horizon Fellowship,Horizon,In-Person / Hybrid,USA,US Citizens / Policy Enthusiasts,Fully Funded,Competitive stipend and placement,No,1-2 years,September,November,September,November,Estimated (Annual),Medium,High,8,9,3,https://horizonpublicservice.org/programs/become-a-fellow/,Annual application cycle. Strictly for US citizens/permanent residents.
Research,Non-Technical Fellowship,AI Policy Fellowship,IAPS,Online,Worldwide,Policy Researchers,Fully Funded,Stipend provided,No,Varies,April,May,April,May,Estimated (Annual),Medium,High,7,8,4,https://www.iaps.ai/fellowship,Annual cycle. Highly dependent on policy research funding.
Research,Non-Technical Fellowship,Tarbell Fellowship,Tarbell Center,Online / Hybrid,Worldwide,Writers & Journalists,Fully Funded,"$50,000 stipend plus travel/coaching",No,1 year,October,January,October,January,Estimated (Annual),Medium,High,7,9,2,https://www.tarbellcenter.org/fellowship,Annual cycle. Applications usually open in Q4 and close early Q1.
Research,Non-Technical Fellowship,Pathfinder Fellowship,Kairos Project,Online,Worldwide,Youth / Students,Unfunded,Mentorship and community access,No,Varies,April,May,April,May,Estimated (Varies by Cohort),Medium,Medium,5,1,3,https://pathfinder.kairos-project.org/,Dates depend heavily on the organizing team's academic calendar.
