Category,Company,Company Size,Company Stage,Headquarters,Primary Focus,Main Domains,Tech Stack,Work Model,Internship Program,International Internship,New Grad / Early Career,Typical Recruiting Season,Applications Open,Application Deadline,Expected Open Month,Expected Deadline Month,Date Status,Entry-Level Roles,Sponsorship Available,AI/ML Fit Score (1-10),Technical Reputation Score (1-10),Growth Score (1-10),Priority,Careers Page,Application Portal,Notes
Internships,Shopify,Large,Late Stage,Canada,Backend + Data,Backend; Data,Ruby; Go,Remote,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,9,9,8,P0,https://www.shopify.com/careers,https://www.shopify.com/careers/internships,Excellent fit tailored for UFMG Computer Science track.
Internships,Databricks,Large,Late Stage,United States,Data + AI Infra,Data Infra,Spark; Scala,Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,10,10,10,P0,https://www.databricks.com/company/careers,https://www.databricks.com/company/careers/early-career,Excellent fit tailored for UFMG Computer Science track.
Internships,Cloudflare,Large,Late Stage,United States,Infra + Security,Networking; Infra,Go; Rust,Remote,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,9,9,8,P1,https://www.cloudflare.com/careers/,https://www.cloudflare.com/careers/jobs/,
Internships,Microsoft,Big Tech,Public,United States,Cloud + AI,Cloud; AI,C#; Azure,Hybrid,Yes,Yes,Yes,Jul–Oct,,,July,October,Estimated,Yes,Unknown,9,9,7,P0,https://careers.microsoft.com/,https://careers.microsoft.com/us/en/studentprograms,Excellent fit tailored for UFMG Computer Science track.
Internships,Amazon,Big Tech,Public,United States,Cloud + Backend,Backend; Cloud,AWS; Java,Hybrid,Yes,Yes,Yes,Jul–Oct,,,July,October,Estimated,Yes,Unknown,9,9,7,P0,https://www.amazon.jobs/,https://www.amazon.jobs/en/business_categories/student-opportunities,Excellent fit tailored for UFMG Computer Science track.
Internships,Palantir Technologies,Large,Public,United States,Data Platform + Defense Tech,Data Infra; Backend,Python; Java; Distributed Systems,Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,10,9,8,P0,https://www.palantir.com/careers/,https://www.palantir.com/careers/students,Excellent fit tailored for UFMG Computer Science track.
Internships,NVIDIA,Big Tech,Public,United States,AI + GPU + Systems,AI; CUDA; Systems,C++; Python; CUDA,Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,9,9,10,P0,https://www.nvidia.com/en-us/about-nvidia/careers/,https://www.nvidia.com/en-us/about-nvidia/careers/students-grads/,Excellent fit tailored for UFMG Computer Science track.
Internships,MongoDB,Large,Public,United States,Databases + Backend,Databases; Infra,Java; Go; Distributed Systems,Remote / Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,9,9,8,P1,https://www.mongodb.com/careers,https://www.mongodb.com/careers/students,
Internships,Datadog,Large,Public,United States,Observability + Infra,Infra; Monitoring,Go; Python; Systems,Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,9,9,8,P1,https://www.datadoghq.com/careers/,https://www.datadoghq.com/careers/students/,
Internships,Plaid,Large,Late Stage,United States,Fintech APIs + Backend,Backend; APIs,Go; Python; APIs,Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,9,9,8,P1,https://plaid.com/careers/,https://plaid.com/careers/#open-positions,
Internships,Ramp,Scale-up,Late Stage,United States,Fintech + Backend + Data,Backend; Data,Python; Go; Cloud,Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,8,10,10,P1,https://ramp.com/careers,https://ramp.com/careers#open-positions,Series D funding stage.
Internships,Coinbase,Large,Public,United States,Crypto Infra + Backend,Infra; Backend,Go; Rust; Cloud,Remote / Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,7,8,8,P2,https://www.coinbase.com/careers,https://www.coinbase.com/careers/students-and-grads,
Internships,Figma,Large,Late Stage,United States,Product Engineering + Frontend,Product Engineering,TypeScript; React; Backend,Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,7,7,8,P2,https://www.figma.com/careers/,https://www.figma.com/careers/#open-positions,
Internships,Notion,Large,Late Stage,United States,Product + Backend,Product Systems,TypeScript; Python,Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,7,7,8,P2,https://www.notion.com/careers,https://www.notion.com/careers,
Internships,Roblox,Big Tech,Public,United States,Game Infra + Distributed Systems,Distributed Systems,C++; Go; Backend,Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,7,8,8,P2,https://careers.roblox.com/,https://careers.roblox.com/students,
Internships,Cohere,Scale-up,Late Stage,Canada,Generative AI + LLMs,LLMs; AI,Python; Transformers,Hybrid,No,Yes,Yes,Unknown,,,Unknown,Unknown,Rolling,No,Unknown,9,9,10,P1,https://cohere.com/careers,https://cohere.com/careers,Series C funding stage.
Internships,Hugging Face,Scale-up,Late Stage,United States,Open Source AI,Open Source AI,Python; Transformers,Remote,No,Yes,Yes,Unknown,,,Unknown,Unknown,Rolling,No,Unknown,9,9,10,P1,https://huggingface.co/careers,https://huggingface.co/careers,Series C funding stage.
Internships,Mistral AI,Scale-up,Hypergrowth,France,LLMs + Foundation Models,Foundation Models,Python; CUDA,Hybrid,No,Yes,No,Unknown,,,Unknown,Unknown,Rolling,No,Unknown,9,9,10,P1,https://mistral.ai/news/jobs/,https://mistral.ai/news/jobs/,
Internships,Perplexity AI,Scale-up,Hypergrowth,United States,AI Search + LLMs,AI Search,Python; LLMs,Hybrid,No,Yes,No,Unknown,,,Unknown,Unknown,Rolling,No,Unknown,9,9,10,P1,https://www.perplexity.ai/careers,https://www.perplexity.ai/careers,
Internships,Confluent,Large,Public,United States,Data Streaming + Infra,Kafka; Data Infra,Java; Distributed Systems,Hybrid,Yes,Yes,Yes,Aug–Oct,,,August,October,Estimated,Yes,Unknown,9,9,8,P1,https://www.confluent.io/careers/,https://www.confluent.io/careers/students/,
Internships,Elastic,Large,Public,Netherlands,Search + Distributed Systems,Search Infra,Java; Go; Elasticsearch,Remote / Hybrid,Yes,Yes,Yes,Sep–Oct,,,September,October,Estimated,Yes,Unknown,7,8,7,P2,https://www.elastic.co/careers/,https://www.elastic.co/careers/students,
